"Name","rt","mz","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Asparagine 4TMS MEOX",473.43764522239,73,14.2208500883241,14.5505956892855,15.2350954579751,15.4641836071631,15.7775438053995,14.9060263756274,15.9686352689845,14.9807880042042,15.9269402441643,15.0944347344617,14.5453953991539,16.2237229007289,13.9023054676098,16.5620184284445,16.8621500234608,15.8234413424195,16.1579504899133,16.4990812933943,16.0633049665472,13.2553659484501,14.6339302405739,15.8677610047307,15.6941593088143,15.9051533505778,15.6841561060277,16.0973787461511,15.98006558598,15.0535866537364,15.8760234813515,17.299320366075,14.3640412399833,15.2706828770694
"Isochlorogenic acid",1034.68577077561,73,16.1013812973361,17.7441574494162,18.2433666838924,16.8062391542904,15.738255827749,16.0891977062819,16.0381976697029,17.7627296333581,16.8504300906442,16.7331095263326,16.0241189178823,16.6421505630758,18.1823402858205,16.2444426792967,15.7043461204113,15.8026864754253,16.6880954569422,17.9389825246483,15.8429969168266,16.9347079746635,16.4111465338253,15.5787075776306,16.4364270108518,17.4476702437563,17.6265945471456,16.5950274697804,17.6727613405382,17.3025766177644,17.4691233907644,15.6465816722246,16.7803611468179,16.3931936013547
"",288.423616451725,57,16.8212238899872,16.0682432179156,15.7634051932589,15.5103303723398,9.5084794618696,8.90423573599117,9.27413260534045,10.017103420284,9.70341093351774,16.108093048936,15.3249378553843,10.0711178544668,10.3894817326328,9.20835295671842,10.7479959250276,9.51716354795768,15.3296990409283,9.47080641318306,9.92037521438072,14.1341698244733,17.4037365593603,13.4838606267955,9.31484663359832,9.62849416343081,9.8996442362098,15.2733374878101,9.97682469801145,10.3893468146537,10.1898623963517,9.16305076694946,13.830927127872,17.4743913269809
"",326.843675872151,73,15.7072271370454,17.3906246342781,17.2603917512207,15.3695054034766,14.8144132393284,14.4596586954179,13.818978927151,17.0321605461341,15.1533860205012,15.7642131909123,17.7333888423376,15.328383708471,16.8558956440511,13.9830040283322,14.5674841018652,13.7457611034273,15.7958152245916,16.8521596211151,14.1852363160769,18.0732411010084,17.5372097355761,16.4212308566246,15.176793636916,16.4090386482932,16.9087615135808,15.7341399109289,16.787615057584,16.7236481269558,17.1885120153314,14.2181111335852,18.113581992179,17.567445336046
"Myo-inositol 6TMS",645.341993200949,73,16.7929155085887,16.2414406283016,16.3710231518534,16.4076258396775,16.3386021219325,16.6435979505406,16.6546987299251,16.9191062709909,16.4193142909164,16.3730123291829,16.532347444702,16.4105381862764,16.249728861223,16.8246874003695,16.318718090806,16.5964584436585,16.4023442536591,16.171435078942,16.6996814983676,14.3447798285801,16.3582573790041,14.6806853232226,16.4252706356491,16.1875506577477,17.0832460661396,16.3996650643365,16.2202636166896,17.0207986258175,16.0004391041484,16.2960088350354,14.3904063384633,16.4347470657639
"",281.846928178302,75,16.6326710895902,15.9721850607294,15.6550229138676,15.3820959385959,11.3114946962848,11.5516444644992,11.4170453755622,11.7737057379742,11.5223967295183,15.9641649645869,17.0560200439208,11.513386685509,12.0653050240132,11.4564587857944,11.9676135331128,11.9805577010697,15.1979227743371,11.2825159874008,11.9949101243728,15.250294283029,17.1549232219848,15.6886560973971,11.9358325384308,11.8209494814068,11.4793639337684,15.1360602989053,12.0839013631048,11.9921839141348,11.9512927490413,11.3766204123003,15.0033345572169,17.2713670894061
"Malic acid 3TMS",435.683484525661,73,16.6168351062571,16.6150339759767,16.3140081519477,16.3892091030528,15.9450961529615,15.5004883657658,14.1365792932606,16.0577397961305,16.7278282951301,16.2977251415844,16.0087700126201,16.6571390166683,17.0656104540329,14.464614283946,16.1877399026573,16.0448908263877,16.3878114954852,16.2786065325404,16.2073177468295,13.4393225910703,16.2847048744129,13.5842744147991,16.745426661106,16.0543255692049,15.9776410478217,16.4483745135601,16.0140028773488,16.10506236846,16.308104039083,15.3801571926156,12.0684043807222,16.3841705857973
"",547.025142998965,147,15.7599791088648,15.1572987542338,15.3369734531919,15.6086704368428,16.0058509065672,15.7812172910951,16.1704119739997,14.8329021419824,15.6036484292958,15.6575092574285,15.0043005276489,15.6173838364024,14.1260433223629,15.3251417814552,15.874944253718,15.5196427813747,15.548212424075,15.1329327112873,16.1463081040539,13.3099977046247,15.8669147007237,15.1309348442084,15.4868487870788,15.645508661206,15.5254254910507,15.5495819981042,15.4261721995703,14.7630293746335,15.3548659330348,16.6455250829016,13.0879154344308,15.7344528141109
"",548.627436443553,147,15.7031188598395,14.7308341630484,14.7731566608046,15.2297317227397,15.8461174709467,15.5692759921283,16.19685274473,14.2799144767468,14.9458164481409,15.3328551576145,13.9569761208333,14.8898925987161,13.2558646578737,14.6929728951546,15.3633965768978,15.1341278517196,15.099741958094,14.4294293695874,15.868856467736,14.3157353398489,15.583025034,15.5709120984435,14.7855971752126,14.8545186366021,14.7878691532478,15.0919553226385,14.6129453016024,14.1445588807619,14.6488056112363,16.3938271116806,14.2504256295705,15.4648474909779
"",361.129939642606,73,16.6689322888358,17.4184105980269,17.1017179010055,16.7487468649219,16.8227295169911,16.927717148165,16.9294248089925,16.7442836870134,16.6923131288247,16.7762159902634,20.6594446496671,16.7510122577157,15.9404419479681,16.8443392849992,16.8211779003784,16.6937971674008,16.8127537818548,16.6918099991754,16.8241929933299,19.0342327968278,16.8833677080567,19.4707238309944,16.8238227047539,17.0294810643986,16.3847808559424,16.876629463921,16.6339851210395,16.7053822723917,17.2492357492231,16.6774160808733,19.316848413354,17.0344855469278
"",324.05370223202,145,13.0765943082077,12.8024209869629,12.0242899770419,12.4409250547558,7.23366962683416,7.02963132303919,6.48650530413474,8.83320363759922,7.96831286405825,13.7598306359333,11.4783124274225,7.28444197950996,9.07794134201449,7.4266391278681,7.53833163738198,7.47455242646206,13.3324486706524,8.63441562799822,6.91664784947837,13.7687349509104,16.7336389948379,11.3077178629071,7.49875551789832,8.57568549102546,9.31590983259878,13.2910218519753,9.17574078023536,8.67720006316457,9.35397564172874,7.37084589788145,14.2740877868652,16.5302934768356
"",446.985865573967,73,15.6537202245571,16.0280090023735,15.9519068791801,16.0177612682647,15.9703908414618,16.3754533146168,16.0385126114783,15.0681748414039,16.4318676177315,15.8863591408061,14.9777919816302,16.5532685976745,16.2864812824838,16.7500915044529,16.2853017524163,16.4753201003822,16.0547768198373,16.2550982638401,16.491857425423,11.9508482069759,15.7832002131666,13.5476614659914,16.3984117693577,15.5693347509144,14.8795890240398,16.0621803804486,14.9737113484106,15.0021344953047,16.1587616258486,16.0021406570571,11.7792186852529,15.9431095244475
"",451.301229579531,73,16.0908880711266,16.5933564039783,16.5812435259698,16.288646740161,16.1742998563927,16.3530192329741,16.1864727269207,16.0736193869777,16.4064793346642,16.2250017771628,16.3558110763443,16.4908791106455,16.2146875412565,16.8149243054052,16.4044429670908,16.5712958636356,16.3104595755373,16.2280353352417,16.5784165630783,13.7112981546684,16.1684409647123,13.9259146964251,16.4219983548554,16.573424856234,15.9643917064308,16.2580655342593,16.0095470348384,16.0220401938358,16.520477250213,16.2888774224755,13.3993186916641,16.2648433050429
"",359.331191647298,73,15.7287334014665,16.5893820884321,16.1619448519203,15.8521263763824,15.929648267546,16.2075744092173,16.142804147686,15.8446657205581,15.7145478845508,15.8386126015013,19.8323148117109,15.7975011382088,14.180180306488,15.8692084596638,15.9517729703494,15.8465317058572,15.9092211563997,15.6783229768236,15.8637600570111,17.859863159166,15.9606781938165,18.5638726593415,15.952516269193,16.0561873905187,15.3449527442178,15.9689894021641,15.5709782984444,15.8414105138427,16.318758730874,15.7304610457426,18.6391389616364,16.0710209207767
"",627.349319482972,73,16.1522467280039,14.5694018905373,14.6754375572526,14.3614926341648,15.417521270588,15.3686844965858,15.6622325189503,14.5185883090014,14.1359241933669,14.543610706384,15.0049599393242,13.999999521375,14.1426199875456,15.0077482310683,15.0113499140389,15.1012474476026,14.2558422438782,14.280827888896,15.9847558697243,11.1625858401609,14.677066208518,9.71364659451839,14.2208674060539,13.4642730461235,14.5529091966447,14.1486950658206,14.3787764740042,14.8425178988393,13.9444290736867,16.3332788733485,11.3187757607048,14.4170834034105
"Asparagine 4TMS MEOX",460.415685630368,73,16.0438165564451,16.9203400278823,17.1737159687537,15.4279723670864,16.2603719756394,15.46598929353,16.319656699355,16.0215293032489,14.1355741360217,15.5447170009134,15.6384790904247,13.4805096203974,13.0590162079662,13.5488611181595,15.2479409932994,15.3678817647482,15.2675267613809,14.7998285372321,15.7925618380837,14.8131444490531,15.9737361905247,16.4946253703774,13.5523214107204,14.7393240572843,14.5120267710052,14.9738819176884,15.4797654376243,14.5418227411972,16.110976545192,16.3658543095649,14.9964305047247,15.6816095324888
"",329.360434408759,75,13.9086904654192,14.2572724908269,14.1089213052969,12.8472764579649,12.4777438566014,12.2957705547945,11.9369128413572,13.9457855172915,12.1863904842096,13.6167888304308,14.7876428978993,12.1967664562503,13.39716382928,11.5079457689645,11.9065918224055,11.5276421832746,13.1741024984645,13.5905309601165,11.886001216382,13.4234221200431,15.9189323561653,13.0159481362847,12.1236584773717,12.9995176882376,13.9154423249456,13.1530685358623,13.5486459657662,13.5066973171704,13.8393919686568,12.0344016671085,13.7046983177162,15.829262482839
