Name,rt,mz,S48,E0,E0,Pool,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
,"288,423616451725",57,"146399,5","82212,5999999999","80101,6500000005","59589,0499999998","862,62828323839","512,499999999997","772,906942493351","1246,5298214979","1021,68964633036","93774,1000000004","1622,12845847111","1131,23082936688","1272,10033667617","707,521208704486","1811,2","813,659695210258","57439,7500000004","1066,1","1243,5","4811,42894076792","276867,05","1402,82662756425","750,903716714807","845,350000000005","1229,38231808703","53589,8000000003","1298,58565964034","1365,54982245997","1173,05579249437","953,910125811152","3875,09460074507","276169,049999999"
,"326,843675872151",73,"92672,0500000001","232807,85","262433,949999999","68381,8500000003","45054,8499999999","32183,9793674153","23184,2672466796","219094,15","58471,3000000003","89392,0499999997","754,817670601523","57666,9000000002","127215,15","21949,7330120487","35177,6662928016","21925,2845384709","92438,6999999997","224892,550000001","30188,0377030478","11648,65","381108,299999999","1327,15","61005,3499999997","97077,8000000005","231276,199999999","83405,6000000005","179904,949999999",150599,"170550,850000001","45182,9143035824","14159,3000000001","345757,849999999"
Myo-inositol 6TMS,"645,341993200949",73,"201276,849999999","105667,900000001","142469,549999999","142945,4","132881,899999999","150466,649999999","168801,65","206855,450000002","143644,55","138324,750000001","283,621999831154","125050,849999999","84549,6499999993","160611,1","122174,05","163317,5","142536,45","142326,050000001","176468,25","768,444291974183","170577,249999999","342,505397233313","148628,750000001","83951,5999999992","267503,399999998","134283,75","123050,9","189221,700000002","75307,1500000005","195869,449999998","949,282124020809","160055,15"
,"281,846928178302",75,"141416,002768518","80800,069889283","77901,2345599245","57546,6148016075","3208,27588553276","3385,61162296556","3703,14819081896","4498,05332421789","3807,19340041704","88782,0577242415","2467,71511763984","3270,96438051576","4128,56930896507","3434,03755638678","4536,90047522793","4917,16845219773","54123,2418638609","3923,01650547405","5704,04119739474","6030,95228843374","249046,691607131","3449,20000000001","5020,94069250693","3833,03008294282","3999,92203408496","49331,8926470988","5844,39894479705","4450,35677931416","4183,91585670083","4853,50543895551","5515,15","248060,167575723"
Malic acid 3TMS,"435,683484525661",73,"171273,900000001","135407,849999999","135641,25","136895,049999999","96947,65","64911,2000000001","28509,6241406431","109784,250000001","171481,899999999","128061,349999999","253,766231653923","142385,05","145872,149999999","30226,645557707","105824,799999999","105469,15","138086,149999999","149486,15","120758,75","516,067134131891","158414,85","206,295906447967","177708,249999999","75483,5","119059,856390977","135428,449999999","104152,950000001","96480,5999999998","92258,0499999997","99224,7499999998","233,961785754328","150694,999999999"
,"547,025142998965",147,"90739,0204301712","48818,3686669317","68135,5341116492","77112,602788444","96884,8000279907","75056,0916896155","113120,965400122","44954,508057029","75552,9805240724","80031,4877137767","167,126988292716","66239,7790304561","18584,1116474716","53206,6235349983","80807,9029892457","69128,557482059","75397,4691306315","65472,5041495042","111880,649999999","602,557101730994","115498,849999999","788,516907239522","70829,3112084203","56083,343493194","82518,8832701882","70854,4517594636","67223,0803402277","36359,7085720751","47151,9895225941","227260,54857455","595,648096986801","93676,1499999998"
,"548,627436443553",147,"84362,4499999996","36058,2842556219","45576,1400198806","57693,0152360248","83925,6684331413","62360,35","112563,7","29440,2084138579","46284,0138124399","62542,0225743602","102,772919199288","38565,5715412096","9970,7788026855","33665,4412093604","54472,9586698326","50506,8477933218","54216,9903992704","39026,5080753171","90267,8640272361","1478,42771792916","92664,0927327261","1333,80015335544","41865,6570368813","32098,0217401406","47129,438014948","50663,8515940498","37178,4701871569","22741,8007582251","28651,2929204543","183424,14562742","1613,19867831691","76227,9122919198"
,"361,129939642606",73,"198955,35","245146,850000001","241163,75","191613,75","202061,15","201358,149999999","218624,449999999","194986,45","185453,75","191725,25","3139,41278045011","170633,450000001","70630,8499999999","174465,3","191645,8","193306,499999999","197172,9","212749,800000001","208316,75","12893,3918508386","255703,2","5894,87227706731","211647,899999999","154548,55","176693,1","196303,75","170004,399999999","162565,6","182661,3","277739,05","19668,7779334785","255073,15"
,"324,05370223202",145,"10191,4","8231,89999999997","5721,85","6561,55","180,3871122988","151,344718571982","110,944989993721","541,289919522327","280,962026926836","16696,3","499,449999999999","156,534099208783","480,25047828643","201,425058086652","193,629676373586","200,055978757268","13290,4","537,384161618114","159,918146100004","4677,35000000001","154154,15","599,749999999999","178,556017550831","416,972106057145","718,608216323034","13117,2","696,019983368978","405,357160928665","627,223452342439","266,065852418038","7212,79999999998","145849,5"
,"446,985865573967",73,"86157,4500000005","89713,9500000007","105000,55","104203,000000001","96665,1000000005","116278,95","104927,399999999","54200,5351546943","137070,95","95104,55","141,332434006581","129757,15","84107,5499999998","145103,15","110389,6","138274,65","108435,800000001","145006,099999999","144618,4","206,314729222435","110552,8","228,210936032507","136653,899999999","53576,0273446013","54298,071307705","102387,1","49957,3649849986","43990,6217525433","82774,9500000004","149277,05","212,951063641647","109675,75"
