"Name","rt","mz","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"",592.087042578646,73,13.8422037416416,12.3548560886356,12.0679028814174,12.9523687709372,11.8451927404612,14.4406114919206,14.8398336032235,12.8000340837019,14.1069235262154,13.430487696475,13.3169110775512,10.8784745248202,13.5059842663468,13.460906634756,13.1944242702915,14.0501449215006,14.5611206107886,13.300007163259,13.4496134182184,12.7603873895484,7.32805757811488,13.2738731856826,10.1053720928988,13.6191506536551,13.116025399072,12.9730319433563,13.0048663804098,13.8855111027064,13.72239484917,11.9605792884601,12.9586166160476,7.86930503472433,13.0546065333551
"",1034.36200272686,73,13.8401155083896,15.0923647930928,15.4672342794134,14.4465921012071,13.6381673633422,13.3439698278,13.5873044515987,13.7500835370422,15.0331019537468,14.3297988261153,14.2089958748336,14.8000355882398,13.9446615559205,15.4738794910241,13.9900501132269,13.2996744285141,13.3590971753698,14.1173418361058,15.3147281013121,13.458245744947,14.5229558613087,14.3564518263675,13.8195678234504,14.1773222101762,14.6031001306045,14.95202045734,14.0709227104838,15.3700524126964,14.7567673548406,15.3510431983639,13.398859295264,13.7412021920384,14.2446561846717
"",326.857548207572,73,13.1645671842385,14.881630066527,14.7037617740972,12.8879015052407,13.9086271692844,11.8555256706849,11.7182140650025,11.1492236659911,14.4284514771782,12.4645647399832,13.3757941438714,14.9234910392571,12.646899119428,14.1246627663952,11.1816090601772,11.7077372045557,10.9175179440483,13.459486936934,14.3016997969128,11.4643226811769,13.4916960783541,15.2795113547748,13.0624434922128,12.7445363758904,13.9671230388848,14.5656623023817,13.2971155483216,14.219743599779,14.1605940235068,14.6217179866888,11.7451054640544,13.2911227993725,15.0313643695119
"",288.150459497028,57,14.4258619474646,13.6967307962855,13.3701114796692,13.0931502979931,15.2785993712134,9.27913209269662,8.74218023968834,8.71343401930722,8.9061739356611,8.41000629603209,13.826881116688,10.8184181444423,9.13047339746985,8.90275271177987,8.58836732376714,8.94037626311571,8.75815327640969,13.3406621017097,8.40038118357979,8.54600526178799,9.89411235624769,15.1417662491895,8.07879025733985,8.45234037144354,8.72695098828917,8.68263462347472,12.9330858254567,8.48907945253874,8.28883089372258,8.83313046380347,7.93856505137676,8.94450021542218,15.0283685100531
"",645.305242872221,73,14.2657745575282,13.6703716084218,13.7576411771691,13.8911241787358,14.0269580726563,13.7971380064159,14.0685773070883,14.0936150137627,14.3478945993506,13.7987234655358,13.7282725927089,14.1022562252958,13.7503297796456,13.508824462912,14.2741447253419,13.8963349595999,13.9762487553698,13.8198331538489,13.6440379413633,14.2084970881152,12.8377249079432,13.8794962890833,11.7524022463846,14.0521595773931,13.4876124680256,14.5077491574279,13.9298273254159,13.8006271255842,14.2249541417739,13.3982055273499,13.991180352414,12.1512953652364,13.9814722065162
"",648.641316964018,73,14.1902997346835,13.4662999356602,13.4982750371474,13.7072226078157,13.6806487439523,13.6992182481028,14.1081572178197,13.8001856237789,14.1073469732,13.6364296802785,13.6288070001381,14.3708275746481,13.6643301519756,13.4733374798301,14.0902642711408,13.73431277218,13.720070127028,13.6872200570348,13.5128092474081,14.0332539484927,12.8684953726305,13.67905947687,11.9176726447231,13.8462018437511,13.4267060264025,14.3461128081828,13.7245228600403,13.7680784524238,14.0646997111564,13.2272473585765,13.6279169489553,12.4417052727072,13.6444784638344
"",435.851263994984,73,14.098080780584,14.0877196897454,13.748786331551,13.7970705301988,14.4773674948409,13.390992061432,13.2159506956991,11.5730601043847,13.4405225138748,14.0924540957443,13.7853667146382,13.3949127295039,14.1189986411641,14.3806882316609,11.8035324029755,13.7696944340444,13.5263690619532,13.9301844809805,13.7178738319588,13.7553654613596,10.4592876649329,13.7958933853297,12.6472665806434,14.183824454606,13.5852645164275,13.5959297058495,13.9444532493924,13.3691922333674,13.5166187829561,13.760232379265,13.1068270494459,11.856109234941,13.8446020896673
"",439.424529593965,73,13.8306465130337,13.813998339711,13.5145134410379,13.6053008502139,13.5625753346956,13.0876287222023,12.599334232892,11.3235067373967,13.2190509062658,13.8086397126526,13.4421738133251,13.691917352333,13.8579893858967,13.8678730161526,11.485336953041,13.3270626355566,13.0400399538099,13.6924312993608,13.2141683600611,13.3333540376316,12.6186848980061,13.6124092494101,14.0508059101428,13.7622860631148,13.1149799287251,13.2050893675751,13.5244658236752,13.0377834453895,13.2084348163585,13.0373598642972,12.3785197265816,13.3968981474462,13.4304670167437
"",575.807818156752,74,13.7251857805057,13.8667750130667,13.5088526741574,13.7767725511729,12.7886094051534,13.9923856594488,14.3413792221541,13.5384929776234,14.4058866773007,14.0420172008088,13.7833270355128,18.9353035093153,14.0684729450154,14.2582030719121,14.2828926165765,14.2111899671786,14.5492118016685,13.8839262684045,13.9782140734286,13.8732686671465,14.8187625194355,13.6435825750096,16.5167607976263,14.1974187988206,14.1418782291697,14.5396607961025,14.0387575844824,14.3274771075861,14.559505907295,13.6693869808844,13.9198202768019,14.9873717300814,13.8215487078898
"",222.51102812283,73,10.4671517550632,12.3430104424856,12.4199264224411,12.635454337141,11.4461573226335,11.8098473625756,11.7684713056462,12.0890993099884,12.8999473254555,13.7974992207906,12.3478861662407,15.9618180588523,14.3414466697706,10.8399584203012,13.3840633090396,13.4534369108268,13.2963293970413,13.1078645881816,13.8223415039054,11.8256212479315,12.3705172020739,11.4594664716198,13.9131556384863,14.125835183274,14.6802466044083,14.1243820280418,13.3528137788953,13.8511968153426,13.7739165437255,14.4192163916301,11.5426399660705,12.8273910876024,12.1407248811779
