"Name","rt","mz","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"",590.820986277705,73,19.8157447545568,22.3109531066857,22.2995208128582,21.6437561366076,21.8402197913299,21.9565231642321,21.8099777972281,22.186307382854,21.939161708363,22.2744263958631,22.2680800970188,22.2243941526624,22.0644694039471,22.2908257601615,22.4162287429141,22.0071768750701,22.2413888747232,22.1966202232393,22.0905915327662,21.975445375249,21.8865294843582,19.4817048224997,21.8882648300143,19.2513190147445,22.3401253878945,21.9649139923592,21.9144398795354,22.0393208031681,22.0840617248309,22.1675214011813,21.7534058951852,21.7199399046404,19.325664360991,21.9183543548838
"Asparagine 3TMS",544.670002578323,73,21.4207988552382,22.4132933297371,21.7994713592898,22.1697881590528,22.4538609176919,22.0904928510494,22.2045254558322,22.1261016066824,21.3527723708028,21.7010645877367,21.4924432896226,22.0494823304283,20.0796832900764,22.6107763446785,21.5942828760298,22.2770706234031,22.5532003439553,22.009781085536,22.1113136070274,22.1599635006631,22.1567425704535,21.3301795506438,21.8836436255767,21.7276876067052,22.2498174506644,22.3847582519973,22.523481047307,22.0379637657943,22.2256689198015,21.6425557619319,22.1514507231449,22.7455750608879,21.3201675358341,21.7779635352377
"Asparagine 4TMS",474.705292538863,73,21.0886355803454,21.2332522902176,20.2163589337543,21.1078383482214,22.0408887897612,20.3581791361622,21.2874772260287,20.9362464627684,19.5069439493342,20.6710599328614,19.9012731045879,21.2131646732236,19.9078591351099,20.9752030211975,19.1428825574126,21.1520848395013,21.4332324944215,20.5712017801719,20.5554842254355,21.1780569202366,20.9286275539303,19.2089138878122,19.6777054570076,20.9216924242255,20.7197219116003,21.3057577496801,20.9331219775568,20.5688736235632,20.9555462022131,19.3514440949496,20.8558119821353,22.2229622970972,19.8087809356202,20.3000101982756
"Malic acid 3TMS",437.029749648606,73,19.5071285643078,21.5045456372036,21.7906260148716,21.4764685784542,21.1896819295643,21.2276738079594,21.6781238318126,20.9359594524672,20.4581050039927,19.6498507568946,21.0607732140142,21.6607247581473,20.2606533926506,21.4405186056449,21.8407140588027,19.0558427216146,21.0394158035301,20.8580537630846,21.3218803164046,21.2163941177874,21.0977460695741,19.1976518908755,21.2966913123325,19.8635604019078,21.6165806215006,20.8363109298327,21.1862995816475,21.5359636548502,21.0521076814158,21.1362749504635,21.1415276318659,20.5558778740473,19.1670466733845,21.4601737303708
"",440.684725246503,73,19.5406489620997,21.0540230966676,21.3006497998619,20.9508327971646,20.6992141566215,20.7604378767198,21.1793603399751,20.2886755451923,19.5506899841172,18.0041049722148,20.3585673915904,21.1662315056018,20.563400891497,20.8820591140485,21.3664282378293,18.1340365894339,20.4948420449918,20.1891364391276,20.8034875924686,20.6769310590289,20.4495144493756,20.9421221373008,20.8002336386753,20.4867350447189,21.1186158602649,20.0323730595175,20.450469162231,20.9949993713626,20.2707541821527,20.379479354607,20.4277759237932,19.6380972434619,21.1410010254441,20.8597328723595
"Chlorogenic acid",1010.26169805142,73,17.0874296473968,22.0482671614694,21.7704249151286,22.3614521404702,22.6042369415525,21.7511354156582,21.0212082334186,20.6579454142486,21.3908823002198,21.1520198054235,21.8635898616456,21.6660318939577,15.8753484081018,22.0992223150018,22.7693862829591,21.7242130949043,21.3202911781092,21.2004522271173,21.8566280554167,22.1078915193865,20.7411133572925,19.1855161362833,21.6287718789595,16.7692114201302,21.898671969165,22.0713646213329,22.3057600601467,21.6255817893952,22.1875730733951,21.9942410753098,21.8669289214784,20.3517961252995,18.4225803681833,21.2724529068478
"",542.419847265828,73,21.1949900053816,21.5603719134734,21.4664615809048,21.6485926279091,21.5515975943505,21.1042170179232,21.1141792954264,21.2886875015711,20.9733727753585,21.1058609359926,21.4027984421013,21.5234009191105,19.0592451776112,21.6360385532952,21.5474102394386,21.4943185163822,21.5768671188544,21.4096542499295,21.3513146886268,21.5089329252958,21.2568839871456,21.3190788165507,21.1513991291645,21.4922610913078,21.5769364220062,21.6136539828014,22.0432965580919,21.449579688647,21.6786643901199,21.5740181821733,21.4995195193941,21.5784343085553,21.3479048125733,21.2145213357883
"",294.966882700216,57,20.1005075746063,19.0631823409421,13.5745698490292,13.3701942370207,12.3811169979545,22.3626914038313,12.4312027052539,13.115564038231,12.8805282008923,12.5762207205326,12.1247339915062,13.6474451070664,19.813435592787,13.0996107006261,13.7261870285752,12.7486928982461,13.1811173692891,13.1504215492521,19.9901702353687,12.7968075767801,13.2625731136493,20.2001417317073,22.166531497634,17.6233313595915,12.7310859404034,13.0765633975484,13.4692700844607,19.8716452788387,12.9105221014097,13.611415715216,13.244624088001,12.8583405189752,19.1140941673153,22.1136410237454
"Isochlorogenic acid",1035.16593038324,73,18.2425308163697,21.6166680728891,21.0461277869505,22.3820585594112,22.8500065809788,21.4241025913257,20.1240185901424,19.3356719770786,20.133474967068,20.2096763928973,21.5820395618169,20.895545674631,15.2091070925674,22.0061391464922,23.2218282843237,21.2583515945587,20.7031038452682,20.6210606615072,21.3850953061497,22.5308196801255,20.2890007052246,20.5926866061048,21.1428221969188,17.0643564531091,21.2408186173367,22.1087172352777,22.4426546955093,20.7937903674461,22.1586392078654,21.9538875769168,21.6997417428717,20.0070817847719,19.6997752821303,20.3829086794318
"",290.842771359978,57,20.1213215695912,18.7001786614453,14.2152822671671,14.064133320041,13.4867526142773,21.5128348859928,13.3899604301623,14.0965688317836,13.8968438686022,13.7340079115185,13.3139852678281,14.1287515785175,20.3404832287958,13.9468760649488,14.5419116888217,13.5214662285423,14.1381864722094,13.9011754107049,19.5068297307279,13.6815058138784,13.7513148035329,20.1437217089603,21.3743191202267,18.0536032994554,13.826125643442,13.9333616456083,14.3157067174034,19.3242676993348,13.6558515690332,14.5313493119739,14.2651556493501,13.8194348970092,18.9601866765615,21.3966334816242
