Name,rt,mz,Blank,Pool,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Asparagine 3TMS,"544,670002578323",73,"34340,9168538531","10811061,2999999","7122028,40000009","8036918,59999992","12519303,5000001","11117835,0500001","11818456,1","9825761,60000003","5225235,45000001","6910213,80000004","5850681,15","8381267,30000003","10313,6125798067","13304595,05","4561253,14999994","10617584,6500001","12830128,6","8584730,64999995","9563715,19999994","11229786,1999999","10513933,3999999","144201,176173477","9522690,90000003","101238,860546253","10532174,1","8704737,70000006","12607892,6999999",8275014,"9858802,90000006","6227042,00000002","7486718,1500001","16904424,0000001","167712,300698577","8078566,29999993"
Asparagine 4TMS,"474,705292538863",73,"40210,1330896809","4423785,74999999","2093548,60000001","3532768,15000002","8661897,60000003","3095548,35","5711603,80000001","3851120,05000001","1326064,6","3130317,69999999","1799059,3","4342144,00000003","13532,1038419176","3928733,60000001","757300,15","4550302,4","5298669,29999999","2880195,25","3088249,04999998","5359544,69999997","4164182,50000001","39253,961374127","1928585,20000001","75329,669792432","3330386,9","3885958,44999999","3881781,85000001","2821046,5","3854157,60000001","1171406,2","2845046,70000001","10964778,05","70021,9499999998",2720137
Malic acid 3TMS,"437,029749648606",73,"12567,9033510261","5411629,95","6371333,35000003","4631211,9","4870793,59999998","5732073,54999999","7605065,45","3926240,20000001","2605175,95","1563323,05","4070379,24999999","6002712,65000003","16144,7639152452","5508431,3","4997836,90000002","1076924,25","4110192,60000002","3572625,39999999","5301774,69999997","5561479,85000001","4742481,94999998","37886,8515901732","5993654,05","34636,598342716","6302159,24999998","2836287,44999999","4687653,80000001","5569727,24999998","4163017,65000001","4094756,39999998","3511306,65000001","3494459,4","43607,7392762897","6145375,4"
,"440,684725246503",73,"14471,9351555689","3865968,02067655","4365874,55846048","3131382,76053027","3380276,21166691","4049138,18631705","5237122,84925196","2421735,71882598","1350155,36911392","487797,121608265","2446453,0627035","4159317,48991898","22456,9841371673","3639081,68750949","3490762,4557325","556545,603032359","2724646,78800553","2182016,31407488","3641276,41390812","3756486,81214247","2958403,24148651","133245,5","4161583,18510676","57582,4397658797","4336437,12532895","1594490,50726317","2750304,95288241","3761803,44138614","2379203,10093807","2362644,53303952","2094524,75303929","1810915,2157844",180184,"3976557,646019"
Chlorogenic acid,"1010,26169805142",73,"2226,95712078116","7972693,79999997","6392994,25000002","8656014,60000003","13133309,7499999","8327989,84999997","4884015,45000002","3288621,95000002","5036651,1","4476263,25000003","7174658,59999996","6090277,3","731,863753286043","8801880,74999992","9642332,09999997","6910765,40000006","5069147,55000002","4589685,3","7736487,50000002","10402461,7500001","3741997,5","36732,9268201312","7615860,14999991","3914,91553105302","7761212,05000002","6731737,15","10292125,8500001","5973764,49999996","9220360,45000003","7506974,99999995","5862352,25","3062879,85000002","25429,3880704122","5442892,00000005"
,"542,419847265828",73,"35325,725689998","5778249,13212734","5321275,96695592","5379736,61760668","6444319,71189426","5408156,87298886","5312249,66920653","5215821,94104463","3846063,84011433","4408372,42902232","5298963,76859404","5610122,64035744","6115,19015105641","6504344,98295992","4220349,82953314","5978859,70562867","6198026,81872781","5415334,53897032","5511591,34406431","6956008,84956675","5436677,01372585","155496,05","5550643,00201757","97768,7555873586","6332413,95697693","4964058,23220178","8721290,35395439","5353500,78620415","6562241,9888843","5710579,49996329","4612993,36989445","7276842,76265479","186154,550000002","5300855,65709265"
,"294,966882700216",57,"56051,313416072","752029,7","14400,9902509997","12831,4075400031","8189,78693138392","9712934,80000003","9077,29958238001","11534,7499374704","10302,0097489543","9109,19501553182","6951,12719916995","18259,3242695206","37494,2599965719","12748,9385950179","13761,4467506583","10722,4762471418","12162,2156610949","12366,2772684508","1758550,05000001","13225,5123288352","16069,2334943172","121132,199999999","8787373,89999996","11657,6212295409","9920,49003934422","11060,1003635745","17404,1717842037","1495901,75","12476,3202271532","17788,7188330313","11830,287144405","13359,7505041881","66489,2788412316","8066080,84999999"
Isochlorogenic acid,"1035,16593038324",73,"5317,11080788556","5829835,65000012","3782691,5","8643598,05000018","15342140,8999998","6546612,04999993","2579965,75000001","1288763,94999999","2072140,04999999","2296880,3","5823516,95","3520159,59999998","494,974208784502","8122115,40000008","12963985,6500001","4942500,70000007","3240505,65000002","3019149,7","5526859,80000006","13796518,9500002","2698891,60000004","100322,400000001","5371891,09999994","5029,73921701441","4838020,14999997","6833953,09999993","11162412,6","3321734,49999997","8941825,89999991","7191678,14999996","5154661,80000005","2381748,75000002","63533,8500000004","2904705,45000004"
,"290,842771359978",57,"57884,9515858201","586612,966301","22656,1499999999","20722,3000000001","17697,2514288028","5383501,66425165","18012,1519669246","23332,3075086666","20973,4867290592","20445,9919553362","15732,3380079552","25594,1999999999","52432,9666791668","22986,8131515323","24124,4443287295","18500,0944534488","23953,7642503768","21173,3484887734","1255360,35300708","24404,5424214814","22846,0521094415","118508,295051563","5074363,73102766","16708,3652845374","21304,9288550801","19997,6927761295","31690,55","1020648,79252304","20955,1580883981","33425,95","24072,303547345","26276,688479168","61265,8153137073","4922650,00291909"
Myo-inositol,"645,740647498833",73,"4497,82317772459","5055278,90000003","6240377,05","3497934,54999996","5280944,60000002","6136700,75",6727958,"5987251,15000002","6242225,90000004","5992523,95","7403878,65","5365698,8","188861,195866224","5151252,95","2810873,65000002","6123954,4","5327035,15000002","5468189,05000003","5495539,29999995","5352423,39999997","6149286,15","10661,8665070922","6233438,49999998","11970,0954154327","5154691,6","3022655,35000001","6581963,39999996","5159807,05","4412417,20000004","5850759,59999996","2615633,69999998","5444488,3","11591,5461285469","5873311,89999998"
