"Name","rt","mz","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"",592.106265220988,73,13.807619334077,12.402608009257,12.1599243577618,12.9584482121252,11.8348467850759,14.469890652063,14.8157886306644,12.7402841372347,14.1543259750821,13.4115557512183,13.2804427370446,11.3833370840494,13.5590238823677,13.5563684053448,13.1871543248571,14.0228122767822,14.563204302839,13.3055471694437,13.501771666638,12.691277232895,8.05737300766333,13.2222375324268,11.1502747759853,13.5282791271381,13.2109567888086,12.9810572001533,13.0239509960019,13.8961914946857,13.7725291716951,12.0429037596928,12.8162812993134,8.40036760672729,12.9816747822535
"",1034.5229094398,73,13.8622902337945,15.1555391585553,15.540053869994,14.4285656212189,13.6455306347823,13.2981406240295,13.5457301671578,13.6637938298718,15.0675081883506,14.3065853814065,14.1713241158422,14.7319343425022,13.9676394237367,15.485245905213,13.9492203298554,13.2526507902864,13.3695009898458,14.1179766821917,15.3184452043131,13.407768370426,14.6690259539132,14.3356593629131,14.0171826205656,14.1134730833462,14.7122209531979,14.9893454347939,14.0711251187898,15.387703930322,14.885695016841,15.4022568706301,13.3082084209097,13.850719758033,14.2372662370286
"",326.827125972152,299,10.3831254386082,13.3853439012656,13.446672295174,10.9468829242079,9.70070298745146,10.3466575253232,9.8573238165948,8.29928505136645,13.3516525399587,10.9667891110526,10.9331454287663,10.0174777904642,11.3879794628852,12.7238355284594,9.56963199889592,10.4137762051103,9.28258912741577,11.4053504909365,13.1689510714416,9.43794123443142,8.17936256643062,11.3708785142823,8.81847890678434,11.2362368720297,12.5762607083899,13.6190275511901,11.3387849454237,13.1568504302297,13.0879190511928,13.3176094615453,10.1207722939339,8.53740509711386,11.3437897453841
"",288.11527966474,430,6.61744249281375,7.06114984063852,7.37770333147428,7.80088960787875,6.25112827881473,6.84949379824229,6.76520036881777,6.6542007241933,6.93336036294703,7.05938823689926,6.90126967433838,6.93627007519832,6.14904317740599,6.78617802523774,7.96150197168342,6.72349299667997,6.99622337295996,7.523276300159,6.9229073662643,7.37653396299745,6.54250137481852,7.4358583123819,7.05014240715853,7.34163898123444,6.4558839239549,6.37216030816497,8.4432322337831,7.08379472066981,7.59925395244089,7.25758745850527,7.19697157164135,7.02666906698287,6.64129447683999
"",645.304469614629,73,14.2690990715372,13.7263722650223,13.8336931489959,13.878038052999,14.037107222966,13.7750421216758,14.0280767167989,14.016757145868,14.3852265916699,13.7697299352041,13.6885956566024,14.2594088795085,13.7755954836374,13.5397677619585,14.2466337954932,13.8506251684212,13.9783695113287,13.8162629475623,13.65664307679,14.1551376300545,13.2139331587966,13.8453340961786,12.2876185882007,13.9733298150817,13.5930348301906,14.5252269250743,13.9400297512885,13.8067660081774,14.3100557743378,13.4649028300318,13.8841880392292,12.4253648511919,13.9554883484009
"",648.641316964018,174,6.79748137464038,6.64378095888211,6.57498473442093,7.81075156307684,8.25219621795196,7.52441323545218,7.55873901315859,8.59869128843824,6.423237741658,7.02413174365765,5.69096841801783,7.00952132336808,6.97425999853203,5.65775550771327,7.61194154999662,7.14604515209277,6.98172152012938,6.72374718937585,7.16910655040261,7.48114838553556,6.96859493335824,7.55560491756061,7.38638393729617,7.02889429731816,6.08950368230208,6.73634980732929,6.94056956002209,6.52236807151349,6.75787016758542,6.40627796158232,8.18410011621087,6.00917664275783,5.8268418192665
"Malic acid 3TMS",435.743813518676,73,14.0870790525621,14.1400640178031,13.8302944124023,13.7895332455139,14.4832873062479,13.3851045738122,13.1784750455687,11.5021788345066,13.4796014251961,14.0644175235083,13.7455037602884,13.674290758336,14.1511668252275,14.4310427408958,11.7818914755495,13.7279209755564,13.5255848705719,13.9275359510008,13.7414491178353,13.6962977614644,10.9666750645535,13.7543910528469,13.3651329510046,14.0985145040339,13.687129478522,13.6085138788963,13.9577133609482,13.3743941416902,13.5872929405393,13.8339908541069,12.9874774779947,12.2246177378787,13.8024139842392
"",439.584795386686,52,7.97510227593537,8.71870877574573,7.65868491996413,7.91759867089498,8.15672603768735,9.09178811955733,7.68523177274076,8.0841420977325,8.63617770412881,7.67907911671973,8.85629559886014,8.89155691171934,8.10349246713451,7.76116264527666,7.65496751717744,8.36745270023481,7.88181256036261,8.48990745594848,8.3690834359899,7.37981489285235,8.08346048698285,7.13929836175657,7.83450606667515,7.7442683072901,7.56576927880343,6.77623809134101,8.32249008293218,8.25689160298672,7.25071447301708,7.05032400855032,6.91750917971019,8.10926123023264,7.97799038709673
"",575.807818156752,463,7.53031837526631,7.65883773436387,7.63294834351436,7.12584111985754,8.51659292431498,7.51005808765959,7.42431882271163,7.5596108914151,7.09312747493315,7.57534597702378,7.26161057987684,7.14636826779617,8.07949655008889,8.04502189627721,8.01999493742954,8.21449565290966,7.53891348637222,7.52993238136746,7.99071548181408,7.11438213999384,7.12439052441537,6.38803601857311,7.69890393054746,7.69294785655282,6.81461715208139,7.93103593801706,6.43040457590705,7.9755345144878,8.95536395331153,6.71318749213865,7.93357767082193,6.98570567567634,7.78793317853434
"",222.329574741335,184,8.20957720033103,7.9582287711698,7.97038307309135,8.03806477427863,9.14596731857845,8.14793746273599,9.01402158165214,9.56854502083424,7.01254689340359,7.05060998071802,7.67920861765802,6.78331109295337,7.02726362321718,6.98801304952879,8.13136675066058,7.95572945810894,8.13488092015768,8.25317623033644,7.48464988642591,8.6339586844081,7.13124893138124,8.54126300923719,5.68145068480364,6.4809390391932,7.03046238905821,7.18644274061008,7.8901677448863,6.32501371938521,7.65809102207641,8.83038781924176,7.71428757374113,6.68588897261463,7.97018816478523
"",553.302411241762,78,9.47789944498724,7.24775326437463,8.07611449032679,8.74451067164792,6.73148326898668,9.84869771325562,8.90929515009444,8.31270411596759,8.63950880999299,7.58802986041485,9.18849348258398,9.32495447472094,7.69928586018266,7.86698231109345,9.24539779749461,8.7361434355376,7.70086930905572,7.7842741913926,8.24862668265355,8.45124448298037,8.90037439114559,8.5573057926914,9.84858137704753,8.56477787256175,9.39762722741977,8.36859270683724,9.35120418424302,8.0912040167493,8.47185316606209,8.81594240861519,8.33455362847392,10.4225425819084,8.66182127899735
"",324.295048316381,367,6.34999391667353,5.85753431558943,7.43643725858567,6.56910023862357,7.13745230612473,5.82294719409628,7.45523506323732,6.97431508741178,7.32436611439454,6.41621876495468,6.79170577466545,6.58636007704963,6.24578847123782,6.67939631546912,7.07259303258335,6.84562382102051,5.87780097334305,6.59922569705592,6.77038978707458,7.12067256176925,6.46776877617192,5.97988191925508,6.66719163605785,6.83221616600529,7.93824004298422,5.99344573304164,6.99632603368917,7.02345962945034,6.27940002203294,6.36657144386093,7.29090123310459,6.66058982822022,5.85378774306862
"",446.929933613927,73,13.0482149079437,13.6013290150724,13.4722825586422,13.3218870770628,13.5419517863415,13.4747930203828,13.7798035229277,13.3989444062201,12.4395203627446,13.6943309553738,13.2667989920064,12.6953502626569,14.017977925953,13.6981604631792,14.2391584335035,13.8609794843329,13.986823982488,13.527735722173,13.5801877913979,14.0152864724285,10.4643749934411,13.204568579547,11.4201702791309,13.711870453727,13.0103606524448,12.4534501291445,13.5107015044582,12.312417158733,12.4705111988473,13.6515330028569,13.4760979528932,10.4101131983159,13.3336648128308
"Aspartic acid 3TMS",451.77799928217,73,13.4405401847052,14.0510912122688,13.9821185198354,13.6104008737077,13.7280972111609,13.5996397568421,13.64473320705,13.4243234753934,13.4353895024918,13.7641301984485,13.5178883669534,13.6066159025941,13.9495393971982,13.4950088663182,14.2135922962395,13.8337017105296,13.877542407551,13.7026442798807,13.5758391307864,14.054021235225,11.2800248197825,13.5129467577486,12.7115516034135,13.6314509158725,14.1724487466865,13.5969348294575,13.5658444619804,13.4092581702066,13.5681077986162,13.7815420493627,13.4614139684713,11.2683985845963,13.529134273607
