"Name","rt","mz","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"",247.21,73,15.471362013941,15.2430995549021,14.6503534553275,15.6544267023277,15.3048042314248,15.5416979135354,15.385454990664,15.0347166638959,15.7958694957397,15.6292148840214,21.4264410928993,15.1941881946908,15.6631822347949,15.2387646724061,14.9777586596325,15.0231927867711,15.1182241967679,14.8296480629396,15.580960507785,19.2400507061692,15.0929061961864,19.6409515983139,15.1587968224189,15.5157766815723,14.7532152101801,15.1802578192598,14.9024956705664,15.0315299842658,14.9075831475757,14.9886010032052,18.6638368601928,15.2761482745494
"",778.57,73,14.9224315267486,14.6123115930596,14.8623084644031,15.0600613119585,14.6279935587511,14.9231638469286,15.382416523183,14.6595451274826,15.0114220477308,15.0218123121318,13.4925576912988,15.1178551791795,15.0331349299473,15.6034543379359,14.9509442627563,15.3314219330973,15.0773641952064,14.8508743720807,15.5603288435886,14.4938953843142,14.8853229797922,12.8553330007057,15.0121495558891,14.9417735795081,14.7411355359662,14.9523730742153,14.9545962530633,14.8102539369251,14.5635032085476,15.2189959243238,13.2948577294053,14.8685155031149
"",591.45,156,11.4616250895472,12.8396309880389,13.2228081270948,12.8463028486424,12.4279113194999,11.9503389352999,12.0493350445827,15.234578439583,13.0907375121111,12.6652765627444,11.7061384759403,13.1367075741247,12.4016580047037,12.1671651388158,13.0825788578115,11.8574847935315,12.7794496242411,13.0461952740966,11.1828104085053,11.8470179298737,12.7551227632576,11.6491271936646,12.9120309946511,15.051744445795,15.6222395222448,12.6281290326786,15.5900609282319,15.6290566619204,13.9629315421505,13.1260320431412,10.4984763449333,12.6593486194128
"",579.52,149,14.5139022138048,12.8003037910466,13.3719124458034,14.3680963520148,14.7975178193138,15.2305491464606,14.0417487198198,14.913775576542,14.5358102839509,14.2367260844053,23.427011238568,16.0602166539067,15.7693470897329,15.4005719970108,15.571856874366,15.7282279391935,14.9966119983593,14.8230437288478,14.5784238257887,18.016844844154,14.6697123841853,18.7490845818616,14.9531754683613,14.3796072612723,15.2655697214558,14.7572724383838,14.7430570862195,15.2841583221436,13.9229398053172,14.9214656012893,16.3265336542574,14.6232145515709
"",620.2,359,8.13339570364621,7.91481834712423,7.61902954852453,6.09221603164738,8.51643597336947,8.29295422103671,9.88817059472765,6.8228771904344,5.89730461397962,7.74790149069503,6.27897772193425,5.72970508634781,7.39891098166924,6.37810025002247,7.32869844802227,5.2145006183202,6.8650144290094,7.04573673523118,8.12289626033088,5.96398901596454,8.8521211752937,6.63195381271501,7.45077573868248,7.15375037746845,6.49355393072109,6.61406473832764,6.0312963397703,7.44894048312754,7.23160041700406,8.37945850359827,6.64211221128437,6.97443819566027
"Asparagine dehydrated 2TMS",488.77,100,12.8953957761593,12.9910911673361,13.3483155431321,14.0047753606219,13.944701649283,13.1569302644688,14.2128535022623,13.0015669984938,13.9954162141695,13.9854676240221,12.1999262204468,12.9122164732928,11.3819467984681,13.5596321464927,13.6768732659631,13.773131772947,13.7419807172876,12.9274009971788,14.1318129338245,14.5275201064199,13.9008295161391,12.9020489755816,13.2863088542056,12.8511010310611,12.7309771480726,13.8320686210597,13.2879126308114,12.460048728377,13.377484953215,15.0359824967909,14.9410693695572,14.0667419162997
"",571.41,129,14.8874606889202,12.8779526220114,13.096215358032,14.3785998453801,15.0490973030358,15.7340065539972,14.1754816843712,15.1083336236521,14.5156135061687,14.2984080795413,12.2213732014094,14.567750829162,13.7498042794825,14.5445327432229,14.8329980590323,15.5724591948104,14.3473860648745,14.2317305764414,14.0018329522635,10.8372825543564,14.2833740933367,11.3932449001736,14.5968649962621,14.1548591698457,15.07798854419,14.4588468445507,14.5135491436236,15.0253690670763,13.4140261256589,14.7518049133102,9.24347280417406,14.423463173701
"",1048.91,73,14.0755332181381,15.2147228067622,15.415719216023,14.7453414456014,13.7616909228196,14.0652389396584,13.8881177238831,15.1572097732315,14.7235042128194,14.5633435302989,12.7890390682094,14.6434902144845,15.5430540027448,14.3112699190204,13.8692413213167,13.6136612373182,14.5536830469612,15.382976535818,13.8451381334918,14.3782743270596,14.301847084753,12.8838446337862,14.4189506370065,15.3004706024231,14.8490098449743,14.4606393818432,14.8555643612842,14.5275347671568,14.8577578995568,13.6907829732343,13.8217300897039,14.2005633113474
"FAME C08",253.7,74,14.3323278221129,14.5764071920019,14.2548759931021,14.3599743628274,14.4822379314674,14.5251101739879,14.3171832400464,14.4817552780902,14.4933884641259,14.2695673127087,22.4443846618898,14.527144432296,14.9295944709427,14.6363695022319,14.6359703313645,14.457884560285,14.2751596236674,14.149001805284,14.5016572356348,20.2489378363656,14.0642361275495,21.0021766673465,14.5824785536236,14.8140086296182,14.3114530467394,14.5135662796346,14.3759329425333,14.569374766885,14.7939872258762,14.1695680390293,19.7848185494084,14.5059378148272
"",440.58,55,13.2196226264493,13.3316224768198,13.080102639545,13.2131215648464,12.4455973541839,11.9121355129283,10.3455396849135,12.7613905180891,13.428866953491,13.0518034631457,12.9155174865822,13.4536960481063,13.9681799404258,10.7730096706362,12.8317927745518,12.6135471048309,13.0834983705316,12.9615498750563,12.5610086898553,12.8690114862794,12.9108346050025,11.6057249327827,13.5209475333047,12.6748091388295,13.0349766664948,13.0179111952246,12.8011065216658,12.9066079268427,12.9641995309241,11.8573047518663,12.6335608255778,13.0924794258587
