"Name","Class","rt.sd","rt","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"","Unknown",0.0041,4.801,18.313275745667,NA,NA,NA,17.342876510384,NA,NA,NA,NA,NA,NA,NA,17.2432342429513,NA,NA,NA,NA,NA,NA,NA,NA,17.679963527685,NA,17.7192528709788,NA,NA,NA,NA,NA,NA,NA,NA,17.9081882273421,NA
"FAME C18","Unknown",0.0033,12.28,17.5057148259357,17.1009951724022,17.1120120620493,17.1304898818801,17.1317597610284,17.0408887750304,17.0235571352094,17.1528771052594,17.2793621270977,17.1929075475586,17.4831815921863,17.3401679843542,17.6818419389748,17.0686426548652,17.3113848764756,17.0525785487171,17.209846046934,17.2871034430581,17.1804788823135,17.086878502495,17.1327421887064,17.6646942628769,17.3293163732453,17.6533858081206,17.3394741065521,17.1873836839862,17.2279496885455,17.280231163903,17.2399420681316,17.4151172570294,17.4741669054019,17.1643904161226,17.9139251978703,17.5094149789213
"FAME C20","Unknown",0.0022,13.459,17.163956396043,16.6438798567166,16.6594271957291,16.8887456133244,16.7501265296566,16.6597341236024,16.6245915430701,16.905693674531,16.9714522510359,16.8785341560555,17.1904163208625,16.9446347557562,17.0221141518763,16.7926327799211,16.4531261032869,16.8446454973554,16.7991070039572,17.0749158804463,16.8423328112074,16.7360248151389,16.8524989445678,17.3092617054655,16.8943294265283,17.499780071222,17.0554147165391,16.9402485622492,17.0698812735707,16.955654124832,17.0196051392748,17.0980082007785,17.2302715255235,16.8773537065149,17.4865315047624,17.1542480050891
"Palmitic acid TMS","Unknown",0.0015,11.456,17.1744840016067,18.6312100465965,18.7540006164175,18.6694962321982,18.3412906762735,19.186200202454,18.7361201004849,18.2036478949968,18.7197135184222,18.3673681164213,18.7844310748798,18.787066739155,21.5785684354052,19.4560511049916,18.8842849112128,18.2140572352819,18.7342525170134,18.5521942306046,19.2485000504112,18.9358121006677,18.0369884544717,18.6679472468927,19.7628138393348,17.9453235049168,19.2399872299751,18.8206844182858,18.7230377098548,19.303640988254,18.7495318797105,18.9327583754116,19.1979631561337,18.2741402332469,18.3443924159903,19.5611520608852
"B-Alanine 3TMS","Unknown",0.0054,6.518,18.0232706373695,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3115278544559,NA,NA,NA,NA,17.6945152645248,NA,17.8767759747609,NA,NA,17.9052576063948,NA,NA,NA,NA,17.8822205325656,18.2712187275817,NA,18.0775743082393,18.038888262159,17.5575817966346,NA,NA,NA
"FAME C24","Unknown",0.0027,15.578,16.8716112529369,16.3712798039294,16.1450122352984,16.5098913243657,16.437221873082,16.3917147311559,15.572130232651,15.9802202300733,16.0055026687329,16.0314533352783,16.5867042673639,16.310252577338,NA,16.4723581942468,NA,16.1137192069457,15.7909762492328,16.4172348268246,16.5509022244827,16.6317445383985,15.5723046928008,15.8974407331531,16.4664222993438,15.6492576429161,16.3467645591461,16.6322924999333,16.5466238609916,16.1178733378004,16.5613846721936,16.7445944660944,16.8361782487333,NA,15.7292077796165,15.7546378525093
"","Unknown",0.0029,6.194,16.9587926178768,NA,NA,17.0928461869783,16.941024276247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4209548249092,17.5520007172825,NA,NA,NA
"Stearic acid TMS","Unknown",0.0082,12.676,17.7696708888273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7650606508332,19.0480368516754,18.0909151582271,NA,NA,NA,NA,NA,NA,17.6372673909557,18.6435093423481,17.9702708321791,18.4287045813141,NA,NA,18.3714636603746,NA,NA,18.3297533721137,NA,18.261540775747,18.6985361943387
"Ethanolamine 3TMS","Unknown",0.0041,4.546,16.946790091896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0085596001587,NA,NA,NA,NA,NA,NA,NA,NA,19.1563475360524,NA,19.5134504208488,NA,NA,NA,NA,NA,NA,NA,NA,18.6077809533834,NA
"FAME C26","Unknown",0.0027,16.534,15.6215975404031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1174139578727,NA,NA,NA,NA,NA,NA,NA,NA,17.0153071532697,NA,16.6203428306427,NA,NA,NA,NA,NA,NA,NA,NA,16.5019865650545,NA
