Name,Class,rt.sd,rt,RI,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Fructose (1MEOX) (5TMS) MP,Unknown,"0,0054","9,523",NA,0,0,12610,0,0,0,0,0,0,38050,0,0,27206,12871,0,0,0,0,27629,24384,0,0,0,40567,20584,0,0,42504,47410,14214,0,0,0
Serine 3TMS,Unknown,"0,0071","5,884",NA,0,0,5799,0,5827,0,0,6207,0,0,0,0,0,0,0,0,5608,0,5467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,005","3,718",NA,0,0,3733,3484,0,0,0,0,8041,12706,2566,0,15392,0,6826,0,6502,6268,13407,0,0,0,0,14012,17077,17884,0,12404,14118,0,0,0,0
Threonine 3TMS,Unknown,"0,0022","6,039",NA,0,0,826,0,0,0,0,0,0,773,0,0,0,0,769,0,0,0,782,806,0,0,0,0,0,0,0,0,0,0,0,0,0
Fructose,Unknown,"0,0077","9,527",NA,0,0,0,64335,38366,0,0,87124,0,0,71962,0,0,0,0,110803,130937,82652,0,0,0,88356,0,0,0,0,85324,0,0,0,143676,0,0
Aconitic acid 3TMS,Unknown,"0,0031","9,564",NA,0,0,0,35667,0,0,0,25875,0,0,29896,0,0,0,0,58546,44228,44906,0,0,0,0,0,0,0,0,47711,0,0,0,56420,0,42152
,Unknown,"0,0054","12,972",NA,0,0,0,4614,0,0,0,6592,0,0,0,0,0,0,6075,0,0,5362,0,7451,0,6085,0,5352,0,0,0,7158,0,0,0,0,0
Valine 2TMS,Unknown,"0,0053","4,396",NA,0,0,0,0,6858,0,5197,5681,0,5222,3442,0,0,0,0,5919,4923,4401,0,7094,0,0,0,4404,0,0,4780,0,0,0,10065,0,4693
,Unknown,"0,001","5,898",NA,0,0,0,0,2862,2810,0,3605,0,0,0,0,3291,0,3665,0,0,0,3475,0,0,0,0,0,0,0,0,0,0,0,0,0,4746
Quinic acid 5TMS,Unknown,"0,003","9,507",NA,0,0,0,0,850,1287,0,1050,0,1171,0,0,0,0,1073,0,0,0,0,0,0,1298,0,0,0,0,0,3111,0,872,0,0,1629
,Unknown,"0,0012","5,318",NA,0,0,0,0,527,0,694,0,0,0,0,0,0,0,579,689,0,546,0,617,0,0,0,508,0,0,0,0,0,505,1063,0,0
,Unknown,"0,0027","4,12",NA,0,0,0,0,0,4921,0,6999,0,0,6865,0,0,4936,0,4249,5013,5542,4701,0,0,6566,0,0,0,5250,4756,4755,5093,3949,0,0,0
,Unknown,"0,0051","11,031",NA,0,0,0,0,0,0,0,0,7936,0,0,0,0,0,0,9198,5863,0,0,0,0,0,0,0,0,5051,6901,0,0,0,0,0,11304
