"Name","Class","rt.sd","rt","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"","Unknown",0.0024,4.807,13.8074064263682,NA,13.3354275413916,12.9503768034798,14.9928002074195,NA,NA,NA,NA,NA,13.7546473128203,NA,NA,NA,NA,NA,NA,13.0052218301783,NA,NA,NA,14.7735985041332,NA,NA,NA,NA,12.6673256542175,NA,NA,NA,NA,NA,14.6887449828939
"","Unknown",0.0068,6.02,13.3119663964452,13.6067196954069,13.7796950004721,13.6628335767529,13.5255484443223,13.428282206371,13.6233529894764,13.3753273187156,13.8041559089511,13.4045735733783,NA,NA,13.3684238210887,NA,13.6050129327798,13.342689635609,13.6673577718748,13.6419020613714,13.7905087707881,13.5237585878791,NA,13.6004916504062,NA,13.5424070138179,14.0130968974778,13.8031505851174,NA,13.5063607470323,13.6460778862014,NA,13.1419204115649,NA,13.5983302147636
"GABA 3TMS","Unknown",0.0038,7.448,11.9412277104316,13.6548684357067,13.6436774445566,13.337369934714,12.8835608579981,NA,13.2107874860308,13.0403451504765,NA,NA,13.6229318158548,NA,NA,NA,13.9146067599179,13.5057112436056,13.8025255623919,13.404701191166,13.4483883940668,13.4797543618807,NA,13.3401692607729,NA,13.3606674100535,NA,NA,13.3503949847205,NA,NA,13.4227747511958,13.246894159881,NA,13.207943746366
"","Unknown",0.0033,9.138,13.0356835307813,NA,NA,NA,NA,12.6176159878882,13.0155335985869,12.9914779354678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.350901066978,NA,12.7865517613174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glutamic acid 3TMS","Unknown",0.0043,8.361,12.7980159868195,11.4034481998961,12.5528254430824,12.7700082681276,NA,NA,NA,NA,12.9924566025302,12.7726387617771,12.822281207836,NA,12.6315295568383,NA,13.1372163082849,NA,13.2486401077311,NA,NA,13.1444356466581,NA,12.388202401102,NA,12.9010709806007,NA,13.8504597439615,NA,NA,12.7670951113349,NA,NA,NA,NA
"FAME C09","Unknown",0.0041,5.29,11.874504613802,NA,11.9171312963907,11.844988552171,11.8746983215965,NA,12.0234099018693,11.8211550482751,NA,NA,NA,NA,11.8404331671268,NA,11.8983421280671,NA,NA,11.9669947454695,11.8441346358011,NA,NA,NA,NA,12.0015477591375,NA,NA,11.9257602714338,NA,NA,NA,NA,NA,11.7132095259495
"FAME C10","Unknown",0.0038,6.275,11.6540993273078,11.8752484668097,NA,11.6477450755303,11.7145885689015,11.7968886151772,NA,11.6278648368408,11.7710619663424,11.6922276292668,NA,NA,NA,11.6174004014534,11.703793169457,11.7610461114188,11.7744295108385,11.7233184482768,NA,11.5109882779045,11.6410822045609,11.6771745309744,NA,NA,11.4662384950079,11.6889448824021,11.572404479585,11.1264722141099,11.7211106305312,NA,11.5745811002344,11.6410822045609,NA
"Palmitic acid TMS","Unknown",0.0017,11.451,11.0767888595673,NA,11.0474846173164,11.0344539488327,NA,10.5815771957237,10.6964072922878,NA,NA,NA,11.2263810151082,NA,NA,NA,10.6372048791367,NA,NA,NA,11.2007788552377,NA,NA,NA,NA,11.6102510529881,NA,11.1115123338443,11.4812136814568,NA,NA,NA,NA,NA,NA
"Leucine TMS","Unknown",0.0038,4.573,10.6289364651595,NA,NA,NA,NA,10.5670626067645,NA,NA,10.5784162710799,10.7639368986123,NA,NA,10.6966379848258,NA,10.8386541051318,NA,NA,NA,NA,NA,NA,10.6068031126229,NA,10.5954287242688,10.6333528331558,10.6467476524627,10.7191971878777,NA,NA,11.1057601867217,10.6003543574562,NA,NA
"","Unknown",0.0036,6.491,8.38258791138261,NA,NA,NA,NA,NA,NA,8.45232082091124,NA,NA,8.32984808335408,NA,8.38737086265592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25307140178048,NA,8.32765574802051
"Aconitic acid 3TMS","Unknown",0.0047,9.562,NA,17.2505160103472,17.3124958621728,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0174736879097,17.2397543526264,17.1785733149351,NA,NA,NA,17.1683957268934,17.0923672844741,NA,NA,NA,NA,17.4289791203279,17.2938686188007,NA,17.4061598288045,17.4309522384635,16.9896359840373,NA,NA,NA
"Phosphate 3TMS","Unknown",0.0028,5.446,NA,14.9040901638893,14.6152348133355,NA,NA,NA,NA,NA,14.7164175306653,NA,NA,NA,NA,14.5476660292419,NA,NA,NA,NA,14.4307349181058,NA,NA,NA,NA,NA,NA,14.3700473210947,NA,14.1829296873972,14.2864581670223,NA,NA,NA,NA
"Asparagine 4TMS BP1","Unknown",0.0025,7.892,NA,13.5261510279456,14.1358616177025,NA,NA,14.2533525644674,13.0522606601453,14.7351633286424,13.9524059848679,14.6121797225517,14.3614718882851,NA,14.7473555840977,NA,14.8897279673063,14.6939440970009,NA,14.3489346224942,14.8568411605008,14.7704731680157,NA,13.7440098306477,NA,14.5092330156412,NA,14.4806101116793,NA,14.6300024834921,13.7504892523542,14.9220191036947,15.3868396648312,NA,14.0489411360835
"Glucose 1P","Unknown",0.004,9.218,NA,13.2947282594076,NA,NA,NA,NA,NA,NA,13.4769066929367,13.4045817788561,14.2523886364397,NA,NA,NA,NA,NA,NA,NA,13.0871530859118,NA,13.3394934252838,NA,13.3394934252838,NA,12.8766296165305,13.3169175126809,13.3597121748457,13.3270989764795,13.0967424770178,NA,NA,13.3394934252838,NA
"","Unknown",0.0026,5.99,NA,12.2975514708378,NA,NA,NA,12.2125632733167,NA,NA,12.164158345679,NA,12.0371756111088,NA,NA,NA,NA,11.984537046133,NA,12.0651686258157,NA,NA,NA,12.1394096453806,NA,NA,NA,NA,NA,NA,12.1939492167053,12.1385961631284,12.0534794140243,NA,12.1610018711232
