Name,Class,rt.sd,rt,RI,Blank,Pool,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
,Unknown,"0,0009","11,565",NA,0,4411,4190,5577,8036,6210,6729,9368,8370,11230,3953,7463,0,5369,3694,10870,6146,7206,7042,0,8026,0,0,0,5947,2859,0,7998,3856,0,0,12077,0,10176
,Unknown,"0,0047","10,197",NA,0,4311,0,0,0,0,0,0,0,0,0,0,0,4621,0,0,0,0,0,0,0,0,0,0,0,4772,0,0,5449,5099,0,0,0,0
,Unknown,"0,006","14,979",NA,0,3722,0,0,0,0,2737,0,0,5142,0,5049,0,5440,0,0,0,4099,5412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0073","15,932",NA,0,3517,0,0,0,4930,0,0,0,0,0,3895,0,5386,0,0,0,0,5247,0,0,0,5518,0,4181,0,0,3524,0,0,0,0,0,3525
,Unknown,"0,0038","13,426",NA,0,3431,2776,3859,0,2903,0,0,5016,0,0,4653,0,0,2467,0,0,2449,0,5396,0,0,4618,0,2828,5270,5167,0,0,5242,5079,0,0,4879
,Unknown,"0,0011","17,769",NA,0,2983,0,2097,2570,3264,0,0,0,0,0,0,0,5560,2578,5846,2696,2714,3209,3447,4195,0,3254,0,2599,3972,0,0,2050,0,0,0,0,0
,Unknown,"0,0035","12,168",NA,0,2891,0,4314,6408,3895,10322,3424,4748,4862,0,3936,0,3740,4498,13164,3512,5003,3959,7350,10987,0,4274,0,3859,0,0,4403,0,0,3043,4133,0,5228
,Unknown,"0,0049","11,615",NA,0,2596,0,0,0,3930,0,0,0,0,0,3070,0,0,0,0,0,0,0,0,0,0,3496,0,2396,0,0,2714,0,0,0,0,0,2980
,Unknown,"0,0048","17,464",NA,0,2025,1135,0,3148,2431,0,0,0,0,0,1297,0,3073,0,1387,1351,1147,2357,0,0,0,2217,0,0,0,0,1581,0,0,0,0,0,0
,Unknown,"0,0056","12,572",NA,0,1733,1751,0,0,0,1694,0,0,0,0,0,0,2526,0,0,0,0,0,0,1690,0,0,0,1784,0,0,0,0,0,0,0,0,0
,Unknown,"0,0007","3,613",NA,0,1657,1794,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,1967,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0
,Unknown,"0,0011","15,545",NA,0,1696,0,0,3177,0,0,0,0,0,2137,0,0,2163,0,1957,0,0,1993,4320,0,0,2248,0,1610,0,0,0,2343,2613,2431,0,0,0
,Unknown,"0,0039","11,539",NA,0,1477,1019,0,0,2140,0,0,0,0,4202,1981,0,1669,0,0,832,0,1793,5178,0,0,2423,0,1714,3165,4861,2183,3597,4533,2808,0,0,2860
,Unknown,"0,0034","17,651",NA,0,1508,1099,0,0,0,0,0,0,0,0,961,0,0,887,0,0,0,1585,0,0,0,0,0,0,0,0,1164,0,0,0,0,0,0
,Unknown,"0,0038","11,277",NA,0,1241,1486,0,0,1696,0,0,0,0,0,0,0,0,0,1388,0,0,2542,0,1773,0,2672,0,2063,0,2247,0,0,0,0,2096,0,0
,Unknown,"0,0019","12,824",NA,0,1218,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,1755,0,0,0,0,0,0,0,0,0,0,1951
Serine 3TMS,Unknown,"0,0066","5,932",NA,0,0,656873,0,1026763,759278,1307346,865021,556484,990882,0,0,0,0,614384,1146851,1357445,917892,838225,903587,1406811,0,824107,0,0,0,1089899,0,0,0,0,1759411,0,0
Allantoin 4TMS,Unknown,"0,0035","10,546",NA,0,0,598749,393503,581958,0,0,0,0,0,0,498140,0,644763,0,1234217,621039,652511,0,483058,0,0,0,0,457768,258044,0,0,0,0,291614,0,0,0
Ethanolamine 3TMS,Unknown,"0,0006","5,952",NA,0,0,608698,657725,749282,723112,636907,636479,573597,656532,0,677317,0,828420,15558,795169,0,658406,739673,820250,747468,0,736416,0,0,0,887605,857634,0,0,0,0,0,0
,Unknown,"0,0055","3,056",NA,0,0,358488,0,0,0,0,494089,497605,465869,0,0,0,0,0,0,537660,567068,0,0,0,0,0,0,0,0,0,0,0,0,0,452618,0,0
,Unknown,"0,0079","12,728",NA,0,0,340756,0,0,0,415405,0,320629,318761,0,348931,0,0,0,416625,350295,377909,0,0,396807,0,0,0,0,0,0,0,0,0,0,458924,0,0
,Unknown,"0,005","5,565",NA,0,0,186128,0,0,0,232779,241508,210257,0,0,0,0,0,0,135346,0,124107,0,0,265475,0,0,0,0,0,0,0,0,0,0,275602,0,0
,Unknown,"0,0068","3,754",NA,0,0,69968,41536,0,0,125470,80733,110783,213457,65115,62436,0,0,0,0,83901,74089,98012,68722,95311,0,75559,0,61666,84136,88553,108207,92795,55081,88480,127392,0,87155
B-Alanine 3TMS,Unknown,"0,0038","6,522",NA,0,0,64363,51349,63118,68321,0,0,65167,62263,0,70594,0,66187,0,0,60240,0,76471,0,0,0,80446,0,67685,0,0,81676,0,0,0,84042,0,81085
,Unknown,"0,0031","6,542",NA,0,0,60518,67057,55894,0,0,0,55869,55348,0,61614,0,56769,0,0,73726,0,76259,0,0,0,71623,0,66428,0,0,70141,0,0,0,74550,0,70324
,Unknown,"0,0058","9,188",NA,0,0,51188,0,0,0,0,0,0,0,0,0,0,0,28128,0,0,60252,0,0,78406,0,62530,0,0,0,0,0,0,0,0,0,0,63494
,Unknown,"0,0043","7,195",NA,0,0,48134,0,0,67027,0,0,0,0,0,0,0,0,0,27424,30037,32088,36189,0,0,0,66126,0,0,0,0,36432,0,0,0,0,0,70255
,Unknown,"0,0055","10,675",NA,0,0,44357,31598,33214,43946,41108,0,0,0,32602,20739,0,0,0,42569,38984,39694,32169,0,41711,0,36954,0,0,0,0,30291,23707,0,14928,0,0,26610
,Unknown,"0,0031","16,975",NA,0,0,41540,0,0,0,29406,14677,24299,30340,31443,34411,0,67215,0,48806,40013,26880,0,0,0,0,47550,0,51334,0,0,0,0,0,0,31862,0,0
,Unknown,"0,0063","3,188",NA,0,0,30445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42872,0,0,0,0,0,0,0,0,28244,0,31030,32795,0,0,0,0
,Unknown,"0,0048","15,703",NA,0,0,28983,0,0,0,23597,16746,24163,36680,0,0,0,0,0,48360,23553,29242,0,0,32213,0,0,0,0,0,0,0,0,0,0,16121,0,0
,Unknown,"0,0027","3,636",NA,0,0,21964,0,0,0,20667,21356,16567,18076,0,0,0,0,0,26537,17422,13975,0,0,26019,0,0,0,0,0,0,0,0,9960,0,29680,0,0
,Unknown,"0,0044","4,583",NA,0,0,18921,0,0,0,51393,41134,49958,102479,28132,35952,0,0,0,0,48738,49206,0,50381,56376,0,0,0,0,22815,22392,0,38554,0,0,86502,0,0
2-Hydroxypyridine TMS,Unknown,"0,0052","3,401",NA,0,0,12940,0,0,17780,0,23182,0,0,0,0,0,0,0,0,0,0,15147,0,28841,0,20879,0,0,0,0,0,0,0,0,27707,0,23243
,Unknown,"0,002","16,546",NA,0,0,11432,0,0,0,0,0,0,0,0,11699,0,15951,0,17946,0,11724,14694,12694,12705,0,0,0,0,12059,0,0,0,0,0,0,0,0
,Unknown,"0,0035","6,775",NA,0,0,11049,12351,12467,0,0,0,0,0,18274,0,0,12984,0,0,0,0,0,16974,0,0,0,0,0,17727,0,0,22290,0,18730,0,0,0
,Unknown,"0,0021","13,328",NA,0,0,10855,0,14717,11470,0,14652,0,0,0,0,0,0,0,16800,0,9890,0,9544,13522,0,11195,0,0,0,0,8761,0,0,7244,0,0,0
,Unknown,"0,0032","10,177",NA,0,0,8939,0,0,0,13771,14016,0,0,10203,8398,0,7382,0,0,0,12755,0,11212,0,0,9163,0,0,2671,6420,7073,5830,7178,0,0,0,8693
,Unknown,"0,0033","8,419",NA,0,0,7656,1641,0,6650,10414,5640,0,3638,0,1505,0,0,0,0,1261,0,1437,0,5378,0,4361,0,0,0,0,2390,0,0,0,7887,0,5709
,Unknown,"0,0082","4,646",NA,0,0,5103,4026,0,0,0,6128,0,0,0,4482,0,0,0,6718,5951,6321,0,6754,0,0,0,0,0,3556,3667,8594,5832,0,5869,8906,0,6389
,Unknown,"0,0083","15,309",NA,0,0,3179,10218,9464,0,0,0,0,0,0,0,0,5433,0,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3592
,Unknown,"0,0024","8,823",NA,0,0,2791,0,0,0,4491,3372,0,0,0,0,0,0,0,0,1679,3779,0,0,0,0,5175,0,0,0,0,0,0,0,0,6342,0,0
,Unknown,"0,0023","7,628",NA,0,0,4208,0,0,7604,10044,5550,8892,8500,0,0,0,0,0,0,0,1907,0,0,7169,0,7784,0,0,0,0,2843,0,0,0,0,0,6301
,Unknown,"0,0041","8,983",NA,0,0,2618,3715,5041,6631,6382,4680,6086,5629,6711,5812,0,0,0,3394,2744,2534,3735,6233,4895,0,8037,0,0,5807,7854,7521,7970,8021,8386,8747,0,10439
,Unknown,"0,0033","10,939",NA,0,0,2569,0,0,0,5608,0,7995,10712,7786,0,0,0,0,0,0,4068,0,0,6627,0,0,0,0,0,2251,2354,0,3745,0,4568,0,3643
,Unknown,"0,0021","18,423",NA,0,0,2416,0,0,0,0,0,0,2728,0,0,0,4586,0,0,3234,3173,2810,0,4989,0,2383,0,2414,0,0,0,0,0,0,0,0,0
Ferulic acid 2TMS,Unknown,"0,0029","12,396",NA,0,0,1823,2296,0,0,2124,1755,3693,4096,0,4305,0,0,0,0,1591,2578,2980,2713,1871,0,3148,0,3240,2858,3005,2796,4293,3268,2561,2724,0,4032
,Unknown,"0,0038","15,988",NA,0,0,932,0,3855,0,968,652,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430,0,3387,0,0,0,0,0
,Unknown,"0,0007","16,351",NA,0,0,897,0,0,0,0,527,883,0,0,0,0,0,0,0,442,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0034","11,348",NA,0,0,415,264,0,0,0,0,0,0,0,0,0,0,0,0,371,399,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0
Aconitic acid 3TMS,Unknown,"0,0058","9,605",NA,0,0,0,8320101,8161321,0,0,0,0,0,0,0,0,7453080,7692049,7663042,0,0,0,7536554,6225562,0,0,0,0,6822745,7978030,0,7268642,8097878,6450151,0,0,0
Aspartic acid 3TMS,Unknown,"0,0043","7,553",NA,0,0,0,1917658,2737067,1470172,0,0,0,0,0,1305114,0,0,931131,0,0,0,1333953,1879449,0,0,1531716,0,0,0,0,0,0,0,1416502,1839685,0,1385254
Glucose 1P,Unknown,"0,0047","9,234",NA,0,0,0,670597,881830,0,0,0,0,0,1147569,961598,0,0,411670,0,0,0,725869,976238,0,164508,0,0,578008,700198,861698,775338,1061872,762765,780111,0,212471,0
Lysine 4TMS,Unknown,"0,0034","10,126",NA,0,0,0,560391,653055,0,0,0,0,0,0,0,0,352531,483389,0,0,0,0,756330,505838,0,0,0,0,237777,0,0,0,0,392589,0,0,0
Galactinol,Unknown,"0,0039","15,426",NA,0,0,0,409749,432218,0,0,0,0,0,0,0,0,0,167632,0,0,0,0,356750,0,0,0,0,0,0,0,0,0,0,161292,0,0,0
,Unknown,"0,0026","14,576",NA,0,0,0,325400,446043,0,0,0,0,0,439165,0,0,0,396062,0,0,0,0,362394,0,0,0,0,0,0,367746,0,416586,343882,0,0,0,0
Lactic acid,Unknown,"0,0055","3,203",NA,0,0,0,317197,0,0,0,0,492788,0,0,0,0,0,0,730262,0,0,0,486828,358578,0,0,126464,0,0,0,0,0,0,207228,0,0,0
Caffeic acid,Unknown,"0,006","12,247",NA,0,0,0,238132,183401,0,0,0,0,0,0,0,0,0,90021,0,0,0,0,302109,0,0,0,0,0,205526,0,0,0,0,249753,0,0,0
,Unknown,"0,0043","12,081",NA,0,0,0,155909,202415,0,0,0,0,275655,0,195078,0,0,0,0,0,0,0,0,276121,0,0,0,0,163389,0,0,0,0,0,302161,0,0
,Unknown,"0,0092","4,833",NA,0,0,0,152534,0,0,0,188902,0,174219,0,171460,0,0,0,0,0,0,0,0,0,0,0,0,193857,0,0,0,0,212649,0,0,0,0
,Unknown,"0,003","5,74",NA,0,0,0,155945,0,0,0,0,0,0,0,0,0,188550,0,0,0,0,0,0,0,0,0,0,190529,194347,201095,193471,202012,175534,208066,0,0,0
Tyrosine 3TMS,Unknown,"0,0051","10,828",NA,0,0,0,133086,199621,0,0,0,0,0,0,0,0,0,0,237980,184092,0,0,0,0,0,0,0,0,0,0,0,0,0,85723,0,0,0
,Unknown,"0,0055","5,561",NA,0,0,0,104627,116796,0,0,0,0,0,150229,0,0,0,0,0,0,0,0,142995,0,0,0,0,0,0,153956,0,152073,165346,148542,0,0,0
Glycine 3TMS,Unknown,"0,0044","5,392",NA,0,0,0,97097,128116,0,0,117797,134730,119423,0,0,0,0,106113,116945,109754,0,0,139231,118416,0,0,0,0,0,0,0,0,0,78040,149167,0,0
,Unknown,"0,0023","3,24",NA,0,0,0,80431,0,0,114158,0,115744,0,0,0,0,0,0,59395,73198,0,0,73219,64365,0,0,11724,45728,0,0,52343,0,0,36049,0,0,50163
,Unknown,"0,0018","17,403",NA,0,0,0,67935,116050,0,0,12944,0,0,38001,0,0,0,126419,0,27584,0,0,149270,0,0,0,0,0,0,80320,0,61902,51580,0,0,0,0
,Unknown,"0,0079","10,371",NA,0,0,0,61487,0,0,0,119505,124099,0,0,0,0,0,0,0,78552,0,0,0,0,0,111295,0,0,0,0,0,0,0,0,0,0,0
Glycerol 3TMS,Unknown,"0,0012","4,85",NA,0,0,0,57234,0,0,0,68503,0,84208,56981,76168,0,0,0,98152,0,0,0,0,84306,0,0,0,73817,0,83471,0,82674,83748,0,0,0,0
,Unknown,"0,0056","9,961",NA,0,0,0,53882,42770,0,0,0,0,0,70111,61245,0,0,40484,59305,37511,35501,37430,57813,41620,0,0,0,43089,44683,75874,38886,85339,90667,30027,0,0,0
,Unknown,"0,0069","3,416",NA,0,0,0,30621,0,0,0,0,62526,61500,50466,0,0,0,0,0,23462,26107,0,27239,0,0,0,0,0,19255,0,0,33807,52059,26016,0,0,0
,Unknown,"0,0032","8,907",NA,0,0,0,19341,30097,0,42855,0,0,0,33950,30165,0,0,18020,0,0,0,29464,28796,0,0,32814,0,0,0,0,30469,0,0,0,0,0,37473
,Unknown,"0,0032","16,027",NA,0,0,0,17062,0,0,0,0,0,0,12154,0,0,0,0,0,0,0,0,20554,0,0,0,0,0,0,0,0,11854,14181,0,0,0,0
,Unknown,"0,0065","10,915",NA,0,0,0,14719,20429,0,0,0,0,0,10381,0,0,0,9336,0,0,0,0,20299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0098","11,724",NA,0,0,0,11785,14099,12498,0,0,0,0,0,0,0,11883,8542,0,0,0,12747,14429,0,0,18743,0,10903,0,0,14521,0,0,0,0,0,14225
,Unknown,"0,0062","15,365",NA,0,0,0,10993,11371,0,0,0,0,0,9298,0,0,0,16322,0,0,0,0,12651,0,0,0,0,0,0,10576,0,0,11096,0,0,0,0
,Unknown,"0,0021","11,611",NA,0,0,0,8274,0,0,0,0,0,0,6391,0,0,0,3266,0,0,0,0,11846,0,0,0,0,0,0,9394,0,6620,7862,5234,0,0,0
,Unknown,"0,0045","17,865",NA,0,0,0,6712,8833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9418,0,0,0,0,0,0,0,0,7980,0,4405,0,0,0
,Unknown,"0,0033","9,456",NA,0,0,0,4946,8163,0,0,0,0,0,0,6661,0,0,3618,0,0,0,0,0,0,0,0,0,0,11621,0,9364,12584,0,0,0,0,0
,Unknown,"0,004","14,865",NA,0,0,0,5489,7419,0,0,0,0,0,0,0,0,3315,0,0,0,0,0,0,0,0,0,0,0,3989,0,0,0,5278,0,0,0,0
,Unknown,"0,0027","8,224",NA,0,0,0,4089,3060,0,0,0,0,0,10754,6988,0,0,0,0,3660,0,0,4851,0,0,0,0,0,3675,0,0,7282,0,6065,0,0,0
,Unknown,"0,0004","3,14",NA,0,0,0,1795,0,0,0,3355,0,0,0,0,0,0,0,0,0,0,0,2361,3611,0,0,0,0,2260,0,0,0,0,0,0,0,0
,Unknown,"0,0052","14,538",NA,0,0,0,971,0,0,0,0,0,0,632,0,0,0,1085,0,0,0,0,947,0,0,0,0,0,850,0,0,0,0,0,0,0,0
Citric acid 4TMS,Unknown,"0,0061","9,766",NA,0,0,0,0,444219,0,0,0,0,0,346137,0,0,0,394182,0,0,0,0,335984,0,0,0,0,0,281967,334170,0,384012,347873,255606,0,0,0
,Unknown,"0,0033","10,197",NA,0,0,0,0,14484,16368,0,0,0,0,0,0,0,0,0,0,0,19199,12092,14859,0,0,17226,0,0,0,0,14699,0,0,11532,0,0,15976
,Unknown,"0,0059","11,654",NA,0,0,0,0,11033,0,0,0,0,0,0,0,0,0,7472,0,0,0,0,13299,0,0,0,0,0,8942,0,0,13301,0,0,0,0,0
,Unknown,"0,0081","15,736",NA,0,0,0,0,4639,0,0,0,0,0,3173,0,0,0,4564,0,0,0,0,0,0,0,0,0,0,3005,4040,0,0,3122,0,0,0,0
,Unknown,"0,0025","8,657",NA,0,0,0,0,2105,0,0,0,0,0,2215,0,0,0,0,0,0,0,0,2473,0,0,0,0,0,0,0,0,2556,3007,0,0,0,0
,Unknown,"0,0006","12,821",NA,0,0,0,0,1613,1781,0,754,803,0,0,955,0,0,1669,0,668,0,0,0,0,0,0,0,1220,0,0,1633,0,0,0,0,0,0
Fructose,Unknown,"0,0065","9,565",NA,0,0,0,0,0,9246555,0,9886240,11057172,7527792,0,0,0,0,0,0,0,0,0,0,0,0,8105368,0,0,0,0,7737962,0,0,0,8910491,0,8173682
Aconitic acid 3TMS,Unknown,"0,0031","9,595",NA,0,0,0,0,0,3693233,0,3288221,2941306,2958144,0,0,0,0,0,0,0,0,0,0,0,0,3048905,0,0,0,0,3003322,0,0,0,3368505,0,3216850
,Unknown,"0,0019","6,19",NA,0,0,0,0,0,538526,0,0,557341,619101,0,0,0,0,0,0,0,0,0,0,0,0,450411,0,0,0,0,457982,0,0,0,0,0,563217
,Unknown,"0,0067","3,067",NA,0,0,0,0,0,453466,350275,0,0,0,0,0,0,0,0,0,0,0,0,0,451218,123781,633942,0,0,0,0,0,0,0,0,0,0,520513
,Unknown,"0,0049","3,947",NA,0,0,0,0,0,223399,222303,0,187030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210477,0,176903
,Unknown,"0,0076","10,359",NA,0,0,0,0,0,104881,0,0,0,0,0,0,0,0,0,198521,0,124394,93139,0,0,0,0,0,82836,0,0,0,0,0,0,0,0,93500
,Unknown,"0,0063","3,417",NA,0,0,0,0,0,94085,0,57204,0,0,0,0,0,0,0,0,0,0,56904,0,54212,0,98781,0,0,0,0,55319,0,0,0,54184,0,92153
,Unknown,"0,0048","10,03",NA,0,0,0,0,0,72787,0,0,0,85442,0,73475,0,0,0,94764,0,0,67905,0,0,0,71412,0,0,0,0,0,0,0,0,84610,0,0
,Unknown,"0,0103","8,28",NA,0,0,0,0,0,33936,0,0,0,0,0,33598,0,26571,0,0,0,0,31482,0,0,0,0,0,32311,0,0,0,0,0,0,0,0,0
,Unknown,"0,0063","3,961",NA,0,0,0,0,0,33168,32398,42580,0,72576,0,0,0,0,0,0,0,0,0,0,46366,0,37624,0,0,0,0,0,0,0,0,0,0,0
"3,4-Dihydroxybenzoic acid",Unknown,"0,0067","10,067",NA,0,0,0,0,0,18618,0,0,0,0,0,0,0,0,0,0,12768,0,0,0,0,0,28242,0,0,0,0,27587,0,0,0,0,0,34368
,Unknown,"0,0046","7,121",NA,0,0,0,0,0,13490,17281,20287,22670,31230,0,0,0,0,0,0,0,0,0,0,18350,0,0,0,0,0,0,0,0,9238,0,17183,0,0
,Unknown,"0,0028","6,776",NA,0,0,0,0,0,14040,13963,13412,0,13970,0,13699,0,0,0,14391,0,14852,16419,0,16504,0,17164,0,13797,0,0,18874,0,0,0,18259,0,0
,Unknown,"0,0019","16,396",NA,0,0,0,0,0,7948,0,0,0,0,0,0,0,9652,0,9024,0,0,0,0,0,0,7876,0,7006,0,0,0,0,0,0,0,0,0
,Unknown,"0,0021","17,835",NA,0,0,0,0,0,7336,0,0,0,6053,0,0,0,9394,0,15212,8134,0,6673,0,0,0,0,0,6115,0,0,0,0,0,0,0,0,4364
,Unknown,"0,0034","3,901",NA,0,0,0,0,0,5884,4887,0,0,8467,3513,0,0,0,0,0,0,0,0,0,0,1230,6519,799,0,0,0,0,0,0,0,5325,0,5755
,Unknown,"0,0036","12,595",NA,0,0,0,0,0,2499,0,0,0,0,0,1970,0,2195,0,0,0,0,0,3049,0,0,0,0,1445,0,9841,0,11026,0,0,0,0,0
,Unknown,"0,0053","12,574",NA,0,0,0,0,0,2397,0,0,0,0,0,0,0,0,0,0,0,0,2164,0,0,0,2725,0,0,0,0,2200,0,0,0,0,0,2940
Glucose 1P,Unknown,"0,0045","9,238",NA,0,0,0,0,0,0,1208453,0,896641,1184809,0,0,0,0,0,532179,0,555130,0,0,0,0,949766,0,0,0,0,0,0,0,0,1298679,0,1124849
,Unknown,"0,0062","6,172",NA,0,0,0,0,0,0,112373,0,0,217287,0,0,0,0,0,120917,0,56948,0,0,164189,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0041","16,079",NA,0,0,0,0,0,0,50393,36345,46723,69601,0,0,0,0,0,0,51443,62768,0,0,0,0,0,0,0,0,0,0,0,0,0,37896,0,0
,Unknown,"0,0044","10,195",NA,0,0,0,0,0,0,38816,28100,20853,0,0,0,0,0,0,20415,0,0,0,0,37286,0,0,0,0,0,0,0,0,0,0,41322,0,0
,Unknown,"0,0017","4,434",NA,0,0,0,0,0,0,9721,9377,0,8282,0,0,0,0,0,9448,10184,6188,0,0,11597,0,0,0,0,0,0,0,0,0,0,10838,0,0
,Unknown,"0,0019","10,889",NA,0,0,0,0,0,0,8134,5244,11267,17436,0,0,0,0,0,4333,0,6299,0,0,11241,0,2932,0,0,0,0,0,0,0,0,7537,0,0
,Unknown,"0,004","9,283",NA,0,0,0,0,0,0,7026,6913,6704,6180,0,5806,0,0,0,0,0,0,0,0,0,0,5049,0,0,0,0,5586,0,0,0,0,0,6169
,Unknown,"0,0083","6,71",NA,0,0,0,0,0,0,5877,0,3681,0,0,0,0,0,0,0,0,0,0,5633,0,0,0,0,0,0,0,6590,6869,7020,0,0,0,0
,Unknown,"0,0034","9,452",NA,0,0,0,0,0,0,5034,0,0,0,7674,0,0,0,0,0,3942,0,5026,0,0,0,0,0,3150,0,0,0,0,0,0,0,0,0
,Unknown,"0,0014","3,15",NA,0,0,0,0,0,0,3879,0,4664,5728,4401,3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,0,4312,5234,0,0
,Unknown,"0,0051","15,748",NA,0,0,0,0,0,0,2321,0,3058,3079,0,0,0,0,0,3331,2703,2701,0,0,3903,0,0,0,0,0,0,0,0,0,0,0,0,0
Raffinose,Unknown,"0,0043","16,955",NA,0,0,0,0,0,0,0,435085,0,522001,0,0,0,0,0,0,0,0,0,0,0,19939,0,0,0,0,0,0,0,0,0,1099770,88809,0
,Unknown,"0,0048","10,677",NA,0,0,0,0,0,0,0,48349,61592,50042,0,0,0,0,0,0,0,0,0,46993,0,0,0,0,0,0,0,0,0,0,0,74154,0,0
,Unknown,"0,0041","5,096",NA,0,0,0,0,0,0,0,73181,67056,65498,0,39864,0,0,0,55682,0,42045,64621,0,71137,0,0,0,0,0,0,45337,0,0,0,86811,0,0
,Unknown,"0,0038","12,106",NA,0,0,0,0,0,0,0,6174,0,6042,0,8128,0,0,0,0,0,4626,0,0,6917,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0039","3,301",NA,0,0,0,0,0,0,0,4546,5049,6381,4795,5031,0,0,0,0,0,0,0,0,5855,0,0,0,0,0,0,0,0,0,0,6769,0,0
,Unknown,"0,0029","11,808",NA,0,0,0,0,0,0,0,2451,1789,2462,0,2702,0,0,888,0,0,0,0,0,5395,0,0,0,0,0,0,0,0,0,0,0,0,0
Caffeic acid,Unknown,"0,0052","12,246",NA,0,0,0,0,0,0,0,0,261344,284247,424316,341064,0,0,0,0,0,0,202899,0,0,0,211086,0,0,0,162848,178662,272014,225729,0,0,0,256789
,Unknown,"0,0025","3,464",NA,0,0,0,0,0,0,0,0,5054,0,0,0,0,0,0,0,0,0,4893,0,0,0,0,0,6556,4181,4118,6227,4456,0,4714,0,0,0
,Unknown,"0,0028","14,804",NA,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,783,714,1105,0,0,0,0,0,0,0,0,0,1359,0,0,0,0,0,0
Aspartic acid 3TMS,Unknown,"0,0046","7,558",NA,0,0,0,0,0,0,0,0,0,0,2163063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097154,4066396,0,3241876,2295970,0,0,0,0
,Unknown,"0,0071","12,697",NA,0,0,0,0,0,0,0,0,0,0,450414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362052,519010,0,596776,503790,0,0,0,0
,Unknown,"0,004","7,015",NA,0,0,0,0,0,0,0,0,0,0,352347,0,0,0,0,287752,0,233406,0,0,222184,0,0,0,0,255201,331973,0,532519,265105,0,0,0,0
,Unknown,"0,0049","4,942",NA,0,0,0,0,0,0,0,0,0,0,207642,0,0,0,0,0,0,239672,0,0,324902,0,0,0,0,191329,316116,0,0,0,0,0,0,0
Mesaconic acid 2TMS,Unknown,"0,0026","6,663",NA,0,0,0,0,0,0,0,0,0,0,58736,51465,0,0,0,0,0,0,59567,0,0,0,0,0,0,0,0,60301,80100,63297,51074,0,0,0
,Unknown,"0,0049","12,568",NA,0,0,0,0,0,0,0,0,0,0,8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6162,9448,0,10066,8843,0,0,0,0
,Unknown,"0,0052","12,371",NA,0,0,0,0,0,0,0,0,0,0,5215,0,0,0,3390,0,0,0,0,7217,0,0,0,0,0,4829,0,0,5994,0,0,0,0,0
,Unknown,"0,0029","7,019",NA,0,0,0,0,0,0,0,0,0,0,0,44825,0,0,0,0,0,0,44010,0,0,0,48912,0,0,0,0,44294,0,0,0,0,0,47803
,Unknown,"0,0066","15,74",NA,0,0,0,0,0,0,0,0,0,0,0,3116,0,3933,0,0,0,0,3443,0,0,0,3720,0,3482,0,0,0,0,0,0,0,0,2892
,Unknown,"0,0049","6,188",NA,0,0,0,0,0,0,0,0,0,0,0,0,650795,0,692847,0,0,0,0,0,0,616164,0,734046,0,0,0,0,0,0,0,0,620007,0
,Unknown,"0,0035","6,571",NA,0,0,0,0,0,0,0,0,0,0,0,0,548237,0,545328,0,0,0,0,0,0,607003,0,649720,0,0,0,0,0,0,0,0,669142,0
Fructose,Unknown,"0,0045","9,555",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3149245,0,0,0,0,0,2805945,2882606,0,0,0,0,2635698,0,0,2677055,0,2051096,0,0,0
,Unknown,"0,0043","12,726",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,65380,0,0,0,0,0,52539,0,0,71779,0,57568,0,0,71065,0,0,31367,0,0,84436
FAME C30,Unknown,"0,0039","18,272",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,48078,0,46183,39000,25478,25403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0027","18,623",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5326,0,5457,5375,0,3768,0,0,0,0,0,0,0,0,4570,0,0,0,0,0,0
